 EpsilonGreedy Cumulative Reward: 418.0
EpsilonGreedy Total Regret: 31.999999999999467
UCB Cumulative Reward: 369.0
UCB Total Regret: 81.00000000000044
ThompsonSampling Cumulative Reward: 423.0
ThompsonSampling Total Regret: 26.999999999999346
EpsilonGreedy Cumulative Reward: 437.0
EpsilonGreedy Total Regret: 13.000000000000153
UCB Cumulative Reward: 381.0
UCB Total Regret: 68.99999999999997
ThompsonSampling Cumulative Reward: 445.0
ThompsonSampling Total Regret: 5.000000000000149
bernoulli | KL-UCB | Run 12 | Cumulative Reward: 882.0 | Total Regret: 18.000000000000004
bernoulli | KL-UCB | Run 13 | Cumulative Reward: 877.0 | Total Regret: 23.000000000000004
bernoulli | KL-UCB | Run 14 | Cumulative Reward: 886.0 | Total Regret: 14.00000000000001
bernoulli | KL-UCB | Run 15 | Cumulative Reward: 884.0 | Total Regret: 16.000000000000004
bernoulli | KL-UCB | Run 16 | Cumulative Reward: 876.0 | Total Regret: 24.000000000000004
bernoulli | KL-UCB | Run 17 | Cumulative Reward: 866.0 | Total Regret: 34.00000000000001
bernoulli | KL-UCB | Run 18 | Cumulative Reward: 897.0 | Total Regret: 3.0000000000000027
bernoulli | KL-UCB | Run 19 | Cumulative Reward: 865.0 | Total Regret: 35.0
bernoulli | ThompsonSampling | Run 0 | Cumulative Reward: 879.0 | Total Regret: 20.999999999999996
bernoulli | ThompsonSampling | Run 1 | Cumulative Reward: 880.0 | Total Regret: 20.0
bernoulli | ThompsonSampling | Run 2 | Cumulative Reward: 897.0 | Total Regret: 3.000000000000009
bernoulli | ThompsonSampling | Run 3 | Cumulative Reward: 862.0 | Total Regret: 37.99999999999999
bernoulli | ThompsonSampling | Run 4 | Cumulative Reward: 901.0 | Total Regret: -0.9999999999999973
bernoulli | ThompsonSampling | Run 5 | Cumulative Reward: 886.0 | Total Regret: 14.000000000000005
bernoulli | ThompsonSampling | Run 6 | Cumulative Reward: 888.0 | Total Regret: 12.000000000000004
bernoulli | ThompsonSampling | Run 7 | Cumulative Reward: 894.0 | Total Regret: 6.00000000000001
bernoulli | ThompsonSampling | Run 8 | Cumulative Reward: 874.0 | Total Regret: 26.000000000000007
bernoulli | ThompsonSampling | Run 9 | Cumulative Reward: 869.0 | Total Regret: 31.000000000000007
bernoulli | ThompsonSampling | Run 10 | Cumulative Reward: 883.0 | Total Regret: 17.00000000000001
bernoulli | ThompsonSampling | Run 11 | Cumulative Reward: 888.0 | Total Regret: 12.000000000000009
bernoulli | ThompsonSampling | Run 12 | Cumulative Reward: 903.0 | Total Regret: -3.0
bernoulli | ThompsonSampling | Run 13 | Cumulative Reward: 876.0 | Total Regret: 24.000000000000007
bernoulli | ThompsonSampling | Run 14 | Cumulative Reward: 880.0 | Total Regret: 20.0
bernoulli | ThompsonSampling | Run 15 | Cumulative Reward: 872.0 | Total Regret: 28.0
bernoulli | ThompsonSampling | Run 16 | Cumulative Reward: 898.0 | Total Regret: 2.000000000000009
bernoulli | ThompsonSampling | Run 17 | Cumulative Reward: 896.0 | Total Regret: 4.000000000000005
bernoulli | ThompsonSampling | Run 18 | Cumulative Reward: 890.0 | Total Regret: 10.000000000000007
bernoulli | ThompsonSampling | Run 19 | Cumulative Reward: 886.0 | Total Regret: 14.00000000000001
gaussian | GaussianEpsilonGreedy | Run 0 | Cumulative Reward: 1895.1105907791862 | Total Regret: 104.88940922081383
gaussian | GaussianEpsilonGreedy | Run 1 | Cumulative Reward: 1741.8865256569948 | Total Regret: 258.11347434300507
gaussian | GaussianEpsilonGreedy | Run 2 | Cumulative Reward: 1903.2431619691658 | Total Regret: 96.75683803083403
gaussian | GaussianEpsilonGreedy | Run 3 | Cumulative Reward: 1872.0694263962446 | Total Regret: 127.93057360375553
gaussian | GaussianEpsilonGreedy | Run 4 | Cumulative Reward: 1876.436326263125 | Total Regret: 123.56367373687502
gaussian | GaussianEpsilonGreedy | Run 5 | Cumulative Reward: 1866.7137050327215 | Total Regret: 133.28629496727842
gaussian | GaussianEpsilonGreedy | Run 6 | Cumulative Reward: 1837.9135199456207 | Total Regret: 162.0864800543793
gaussian | GaussianEpsilonGreedy | Run 7 | Cumulative Reward: 1818.0453805624695 | Total Regret: 181.95461943753037
gaussian | GaussianEpsilonGreedy | Run 8 | Cumulative Reward: 1829.267732081363 | Total Regret: 170.73226791863704
gaussian | GaussianEpsilonGreedy | Run 9 | Cumulative Reward: 1888.565235424509 | Total Regret: 111.43476457549104
gaussian | GaussianEpsilonGreedy | Run 10 | Cumulative Reward: 1873.840791257105 | Total Regret: 126.15920874289509
gaussian | GaussianEpsilonGreedy | Run 11 | Cumulative Reward: 1829.0467030977181 | Total Regret: 170.95329690228195
gaussian | GaussianEpsilonGreedy | Run 12 | Cumulative Reward: 1893.2625483760812 | Total Regret: 106.73745162391883
